,country_name,population,population_male,population_female,gdp_usd,gdp_per_capita_usd,latitude,longitude,area_sq_km,infant_mortality_rate,health_expenditure_usd,human_capital_index,life_expectancy
13,Austria,8858775,4357033,4501742,455140042000.0,51448.0,48.0,14.0,83879.0,2.9,4939.875488,0.793,81.8
14,Azerbaijan,10139175,5064664,5074511,48047647058.0,4793.0,40.3,47.7,86600.0,19.2,275.809357,0.597,72.864
15,Bahamas,393248,191093,202155,31197146408.015385,20408.13076923077,25.0,-77.4,37261.59111111111,17.931746031746034,524.5625397777778,0.5033333333333333,75.79448206993005
16,Bahrain,1701583,1100474,601109,38574069148.0,23503.0,26.0675,50.551111,778.0,6.1,1127.186279,0.668,77.163
17,Bangladesh,164689383,83259108,81430275,302571254131.0,1855.0,24.016667,89.866667,147630.0,25.1,36.282337,0.479,72.32
18,Barbados,287371,139084,148287,6601021080.155556,16581.566666666666,13.17,-59.5525,834.0562962962962,15.895238095238097,689.7182733650793,0.613,75.59919910909092
19,Belarus,9449321,4399367,5049954,206756972556.4,22406.8,53.528333,28.046667,163647.66666666666,4.446666666666667,1753.2442158000001,0.7185,76.94441953333333
20,Belgium,11455519,5644826,5810693,542587364000.0,47436.0,50.641111,4.668056,30530.0,2.9,4507.356445,0.757,81.7
21,Belize,397621,197761,199860,118781109368.00102,14160.342051282052,17.066667,-88.7,181494.4394074074,16.556288156288154,461.68846852136755,0.5204848484848484,75.21890871928072
22,Benin,12123198,6054248,6068950,14390709094.0,1219.0,8.833333,2.183333,114760.0,60.5,30.766447,0.406,61.47
23,Bermuda,62273,32322,34524,33381485479.960995,18057.52703962704,32.333333,-64.75,16089.629037037037,20.89861111111111,578.6737327579365,0.48044444444444445,75.98138118916083
24,Bhutan,771612,410087,361525,1256558559459.4666,8180.133333333333,27.45,90.5,1127498.1333333333,27.78571428571428,108.45782521428569,0.5300000000000001,71.64466666666667
25,Bolivia,11673029,5858019,5815010,261423597210.07693,9148.461538461539,-17.05687,-64.991229,1186506.8666666667,14.442857142857141,673.1085952142857,0.5867000000000001,74.64535714285715
26,Bosnia and Herzegovina,3280815,1606609,1674206,20047848434.0,6073.0,44.0,18.0,51210.0,5.0,460.473328,0.618,77.262
27,Botswana,2351625,1139099,1212526,18340510789.0,7961.0,-22.2,23.7,581730.0,30.0,465.929321,0.424,69.275
28,Bouvet Island,0,0,0,95917361204.33333,5274.972222222223,-54.42222,3.35833,509173.9688888889,39.611111111111114,420.7643024861111,0.4209027777777778,62.63764329166666
29,Brazil,212559409,104435783,108123626,1839758040765.0,8717.0,-14.0,-53.0,8515770.0,12.8,928.799316,0.56,75.672
30,British Indian Ocean Territory,4000,2000,2000,346530514406.8,7512.2,-6.0,71.5,410942.85714285716,26.836363636363636,375.42566710000006,0.5248888888888888,70.8823458181818
31,British Virgin Islands,30237,16553,18223,23063090622.555553,17154.666666666664,18.445,-64.54,4299.38962962963,17.432142857142857,541.5931489107143,0.492,75.70912592727272
32,Brunei,437483,226987,210496,270684647352.07693,21542.846153846152,4.4,114.566667,257693.46666666667,18.563636363636366,556.5849941818182,0.619909090909091,74.94913515384616
33,Bulgaria,7000039,3395701,3604338,66182565600.0,9440.0,42.75,25.5,111000.0,5.9,663.715088,0.676,75.0
34,Burkina Faso,20903278,10444713,10458565,15745810234.0,774.0,12.266667,-2.066667,274220.0,49.0,44.403492,0.369,61.174
35,Burundi,11890781,5899864,5990917,3012334881.0,261.0,-3.666667,29.816667,27830.0,41.0,23.500433,0.38,61.247
36,Cambodia,16718971,8162424,8556547,27089389786.0,1643.0,12.6,105.0,181040.0,24.0,82.075867,0.493,69.57
37,Cameroon,26545864,13277075,13268789,38760467033.0,1497.0,7.0,12.0,475440.0,50.6,67.811813,0.394,58.921
38,Canada,37742157,18732178,19009979,1736425629519.0,46194.0,56.0,-109.0,9984670.0,4.3,4754.947754,0.799,81.94878
39,Cape Verde,555988,279117,276871,24291229657.07143,1456.7142857142858,15.916667,-24.083333,303543.3333333333,47.271428571428565,65.36526271428572,0.38358333333333333,63.0425
40,Caribbean Netherlands,26221,15971,15575,25206399536.432323,18112.215151515153,12.183333,-68.233333,69980.08375308642,17.101984126984128,540.4782683234126,0.5285,74.87900906969698
41,Cayman Islands,65720,37180,39213,44286581035.48109,15339.344854700856,19.5,-80.5,65574.65981234568,17.767211421057574,475.3143517153188,0.5129848484848485,75.19131876416441
42,Central African Republic,4829764,2394042,2435722,45201359268.333336,1946.8,6.7,20.9,690550.8666666667,50.79333333333334,83.1630426,0.367,61.13966666666666
43,Chad,16425859,8200170,8225689,11314951342.0,709.0,15.466667,19.4,1284000.0,71.4,29.730864,0.293,53.977
44,Chile,17574003,8972014,8601989,282318159744.0,14896.0,-33.0,-71.0,756700.0,6.2,1381.986206,0.674,80.042
45,China,1439323774,738247340,701076434,14342902842915.0,10261.0,35.844722,103.451944,9562910.0,7.4,440.825623,0.673,76.704
46,Christmas Island,1843,1463,607,296910802218.77515,19885.21893491124,-10.49,105.6275,276419.76444444444,18.433057851239667,415.5209324710744,0.6171468531468531,75.48066324260357
47,Cocos Islands,596,292,262,270600904647.97516,11554.733220625527,-12.1175,96.895,347284.93921693123,19.266646989374262,449.55418641092086,0.5776111409957564,73.78274894390225
48,Colombia,50882884,24984564,25898320,323802808108.0,6432.0,4.0,-73.25,1141748.0,12.2,459.197571,0.593,77.109
49,Comoros,869595,438653,430942,1185728676.0,1393.0,-12.23333,44.44553,1861.0,51.3,58.760929,0.409,64.118
50,Cook Islands,17564,9281,8768,30831910419.82143,9952.375,-21.233333,-159.783333,21942.36888888889,16.989795918367346,812.437279612245,0.5616000000000001,73.77192855357143
51,Costa Rica,5094114,2545076,2549038,61773944173.0,12238.0,10.0,-84.0,51100.0,7.6,869.077759,0.619,80.095
52,Croatia,4076246,1972572,2103674,60917594400.0,14868.0,45.25,15.466667,56590.0,4.0,902.139648,0.723,78.2
53,Cuba,11326616,5623468,5703148,49419178476.77983,11806.30117834758,22.0,-79.5,65492.30379983539,18.126227684215852,426.3152077703434,0.5114002525252526,74.79490974731901
54,Curaçao,164100,75469,88631,23921213558.24522,16776.967832167833,12.166667,-68.966667,76467.15600329218,20.0472582972583,497.01236020310245,0.51475,74.07765127900431
55,Cyprus,875899,427831,448068,24942615800.0,28674.0,35.0,33.0,9250.0,1.9,1731.694458,0.751,82.9
56,Czech Republic,10649800,5244194,5405606,244932977600.0,23010.0,49.5,16.0,78870.0,2.7,1475.915161,0.782,79.1
57,Democratic Republic of the Congo,89561404,44710172,44851232,47319624204.0,545.0,-2.88,23.656,2344860.0,68.2,19.431646,0.369,60.368
58,Denmark,5806081,2889073,2917008,355582262000.0,61360.0,56.0,10.0,42920.0,3.6,5800.151367,0.774,81.0
59,Djibouti,988002,518993,469009,148900132429.92307,16262.76923076923,11.8,42.433333,554097.4,30.053333333333335,562.5558600714286,0.505,69.13646666666666
60,Dominica,71991,35041,36298,8224120227.660605,16491.263636363637,15.416667,-61.333333,1137.6193580246913,16.50845238095238,625.4939700561507,0.5726666666666667,75.3182096030303
61,Dominican Republic,10847904,5418206,5429698,88941298257.0,8282.0,18.8,-70.2,48670.0,24.1,433.208588,0.492,73.892
62,East Timor,1318442,666242,652200,1673540300.0,1294.0,-8.966667,125.75,14870.0,39.3,83.197708,0.434,69.26
63,Ecuador,17643060,8823827,8819233,107435665000.0,6183.0,-1.0,-78.0,256370.0,12.2,518.029602,0.602,76.8
64,Egypt,102334403,51702862,50631541,303175127597.0,3020.0,27.0,29.0,1001450.0,18.1,105.768456,0.486,71.825
65,El Salvador,6486201,3036424,3449777,27022640000.0,4187.0,13.668889,-88.866111,21040.0,11.8,282.491028,0.501,73.096
66,Equatorial Guinea,1402985,780380,622605,55986324504.62222,2341.786666666667,1.5,10.0,637020.7244444445,50.93288888888889,84.87155903999998,0.3801538461538461,61.18511111111111
67,Eritrea,3546427,1777548,1768879,168493387041.45563,14204.136094674557,15.483333,38.25,636285.2266666667,29.536888888888893,606.0944352908164,0.5014615384615385,69.18592704444444
68,Estonia,1324820,625635,699185,30722303000.0,23246.0,59.0,26.0,45340.0,2.1,1300.481689,0.747,78.5
69,Ethiopia,114963583,57516835,57446748,96107662398.0,857.0,9.0,40.0,1104300.0,39.1,25.261953,0.385,66.24
70,Falkland Islands,3483,1385,1296,336798411325.0373,9845.016705516706,-51.73,-59.22,1199641.6245925925,15.132178932178931,881.0270848250359,0.5753727777777778,74.39016273268398
71,Faroe Islands,48865,27785,25775,795456709793.1538,64170.307692307695,61.969944,-6.844481,153686.26666666666,2.609090909090909,5363.961692000001,0.7754545454545454,81.70112538461538
